selection_rank	first_public_panel_n	genbank_assembly_accession	biosample_accession	ncbi_organism_name	ncbi_organism_taxid	bacselect_species_name	bacselect_species_taxid	assembly_name	submitter	assembly_release_date	panel_identity	selector	selector_version	architecture_schema_version	source_snapshot_sha256	taxonomy_snapshot_sha256	execution_git_commit	ncbi_assembly_url
22	50	GCA_018128905.1	SAMN16534088	Streptomyces sp. A2-16	2781734	Streptomyces sp. A2-16	2781734	ASM1812890v1	Chongqing University	2021-04-22	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_018128905.1/
23	50	GCA_046717785.1	SAMN45893584	Corynebacterium sp. LaCa116	3391423	Corynebacterium sp. LaCa116	3391423	LaCa116_v1	Bielefeld University	2025-01-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_046717785.1/
24	50	GCA_000715355.2	SAMN02691830	Georgenia sp. SUBG003	1497974	Georgenia sp. SUBG003	1497974	Georgenia_SUBG003_SC	SaurashtraUniversity	2025-03-05	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000715355.2/
25	50	GCA_046250205.1	SAMN45099399	Vibrio sp. BS-M-Sm-2	3241167	Vibrio sp. BS-M-Sm-2	3241167	ASM4625020v1	Chung-Ang university	2024-12-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_046250205.1/
26	50	GCA_011038645.2	SAMN14086271	Corynebacterium qintianiae	2709392	Corynebacterium qintianiae	2709392	ASM1103864v2	Chinese Center for Disease Control and Prevention	2020-12-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_011038645.2/
27	50	GCA_000143085.1	SAMN02598531	Nitrosococcus watsonii C-113	105559	Nitrosococcus watsonii	473531	ASM14308v1	US DOE Joint Genome Institute	2010-06-25	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000143085.1/
28	50	GCA_020843965.1	SAMN22635686	Burkholderia sp. B21-005	2890406	Burkholderia sp. B21-005	2890406	ASM2084396v1	Agriculture and Agri-food Canada	2021-11-12	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_020843965.1/
29	50	GCA_023169945.1	SAMD00443502	Anaeromyxobacter oryzae	2918170	Anaeromyxobacter oryzae	2918170	ASM2316994v1	National Institute of Advanced Industrial Science and Technology	2022-02-24	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_023169945.1/
30	50	GCA_001887265.1	SAMN06016468	Chelatococcus daeguensis	444444	Chelatococcus daeguensis	444444	ASM188726v1	Fujian Agriculture and Forestry University	2016-11-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001887265.1/
31	50	GCA_947251695.1	SAMEA111432267	Wolbachia endosymbiont (group A) of Ectemnius continuus	2954002	Wolbachia endosymbiont (group A) of Ectemnius continuus	2954002	iyEctCont1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	2022-11-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_947251695.1/
