selection_rank	first_public_panel_n	genbank_assembly_accession	biosample_accession	ncbi_organism_name	ncbi_organism_taxid	bacselect_species_name	bacselect_species_taxid	assembly_name	submitter	assembly_release_date	panel_identity	selector	selector_version	architecture_schema_version	source_snapshot_sha256	taxonomy_snapshot_sha256	execution_git_commit	ncbi_assembly_url
256	500	GCA_000093025.1	SAMN02598526	Methylotenera versatilis 301	666681	Methylotenera versatilis	1055487	ASM9302v1	US DOE Joint Genome Institute	2010-06-01	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000093025.1/
257	500	GCA_050948485.1	SAMN42902617	Pseudonocardia halophobica	29401	Pseudonocardia halophobica	29401	MDNA_WGS_208_assembly	Technical University of Denmark	2025-06-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050948485.1/
258	500	GCA_003288315.1	SAMN07138891	Roseovarius sp. AK1035	2203213	Roseovarius sp. TM1035	391613	ASM328831v1	University of California, Irvine	2018-07-05	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003288315.1/
259	500	GCA_014083885.1	SAMN13182598	Devosia sp. D6-9	2664417	Devosia sp. D6-9	2664417	ASM1408388v1	Huazhong agricultural university	2020-08-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_014083885.1/
260	500	GCA_047323925.1	SAMN45153803	Pseudidiomarina salilacus	3384452	Pseudidiomarina salilacus	3384452	ASM4732392v1	Yuncheng University	2025-01-30	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_047323925.1/
261	500	GCA_034371605.1	SAMN38477429	Limimaricola variabilis	1492771	Limimaricola variabilis	1492771	ASM3437160v1	Gloucester Marine Genomics Institute	2023-12-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_034371605.1/
262	500	GCA_022811645.1	SAMN27018319	Hymenobacter monticola	1705399	Hymenobacter monticola	1705399	ASM2281164v1	National Institute of Agricultural Sciences	2022-04-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_022811645.1/
263	500	GCA_029229465.1	SAMN24169495	Komagataeibacter oboediens	65958	Komagataeibacter oboediens	65958	ASM2922946v1	Worcester Polytechnic Institute	2023-03-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_029229465.1/
264	500	GCA_050847355.1	SAMN48742075	Limimaricola sp. AA108-03	3425945	Limimaricola sp. AA108-03	3425945	ASM5084735v1	Shandong University	2025-06-08	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050847355.1/
265	500	GCA_040833995.1	SAMN42533264	Leptospira cinconiae	3235173	Leptospira cinconiae	3235173	ASM4083399v1	United States Department of Agriculture	2024-07-24	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_040833995.1/
266	500	GCA_030295325.1	SAMD00562171	Haliovirga abyssi	2996794	Haliovirga abyssi	2996794	ASM3029532v1	Kyoto University	2023-05-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030295325.1/
267	500	GCA_036894235.1	SAMN39984690	Paenibacillus sp. Y5S-9	3122489	Paenibacillus sp. Y5S-9	3122489	ASM3689423v1	Universite Laval	2024-02-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_036894235.1/
268	500	GCA_024760225.1	SAMN30323416	Bacteroides faecis	674529	Bacteroides faecis	674529	ASM2476022v1	National Institute of Allergy and Infectious Disease	2022-08-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_024760225.1/
269	500	GCA_021495975.1	SAMN24823988	Clostridium sporogenes	1509	Clostridium sporogenes	1509	ASM2149597v1	Guangdong Acegemy of Sciences	2022-01-18	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_021495975.1/
270	500	GCA_014789785.1	SAMN16226744	Chryseoglobus sp. 28M-23	2772253	Chryseoglobus sp. 28M-23	2772253	ASM1478978v1	University of Bristol	2020-09-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_014789785.1/
271	500	GCA_045160025.1	SAMN23040497	Spirosoma sp. KNUC1025	2894082	Spirosoma sp. KNUC1025	2894082	ASM4516002v1	Kyungpook National University	2021-11-22	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_045160025.1/
272	500	GCA_018847975.1	SAMN18437880	Lysobacter sp. K5869	2820808	Lysobacter sp. K5869	2820808	ASM1884797v1	University of Bonn	2021-06-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_018847975.1/
273	500	GCA_023988885.1	SAMN29228908	Clostridium septicum	1504	Clostridium septicum	1504	ASM2398888v1	Alkek Center for Metagenomics and Microbiome Research, Baylor College of Medicine	2022-06-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_023988885.1/
274	500	GCA_045291515.1	SAMN40291301	Streptomyces sp. GD-15H	3129112	Streptomyces sp. GD-15H	3129112	GD-15H	Chungnam National University	2024-03-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_045291515.1/
275	500	GCA_024346875.1	SAMD00393684	Vibrio gallicus	190897	Vibrio gallicus	190897	ASM2434687v1	Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	2022-07-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_024346875.1/
276	500	GCA_010731715.1	SAMD00153208	Mycobacterium stomatepiae	470076	Mycobacterium stomatepiae	470076	ASM1073171v1	Department of Infection Metagenomics, Osaka University	2020-02-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_010731715.1/
277	500	GCA_013393925.1	SAMN11587924	Nostoc sp. C057	2576903	Nostoc sp. C057	2576903	ASM1339392v1	Boyce Thompson Institute	2020-07-08	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_013393925.1/
278	500	GCA_035991645.1	SAMN24016446	Streptomyces sp. NBC_01230	2903784	Streptomyces sp. NBC_01230	2903784	ASM3599164v1	Technical University of Denmark	2024-01-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_035991645.1/
279	500	GCA_020616155.1	SAMN21437800	Vogesella sp. XCS3	2877939	Vogesella sp. XCS3	2877939	ASM2061615v1	University of Otago	2021-10-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_020616155.1/
280	500	GCA_048572965.1	SAMN46817543	Oceanobacillus kimchii	746691	Oceanobacillus kimchii	746691	ASM4857296v1	Cold Regions Research and Engineering Laboratory	2025-03-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_048572965.1/
281	500	GCA_003584565.3	SAMN09630237	Alteromonas sp. RKMC-009	2267264	Alteromonas sp. RKMC-009	2267264	ASM358456v3	University of Prince Edward Island	2019-04-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003584565.3/
282	500	GCA_036232025.1	SAMN24016583	Streptomyces sp. NBC_01422	2903859	Streptomyces sp. NBC_01422	2903859	ASM3623202v1	Technical University of Denmark	2024-01-25	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_036232025.1/
283	500	GCA_003441595.1	SAMN09874278	Marinobacter sp. Arc7-DN-1	2304594	Marinobacter sp. Arc7-DN-1	2304594	ASM344159v1	the First Institute of Oceanography	2018-09-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003441595.1/
284	500	GCA_048565265.1	SAMN47220196	Burkholderia theae	3143496	Burkholderia theae	3143496	ASM4856526v1	National Chung Hsing University	2025-03-12	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_048565265.1/
285	500	GCA_034359465.1	SAMN27755640	Candidatus Bandiella euplotis	1664265	Candidatus Bandiella euplotis	1664265	ASM3435946v1	University of Pavia	2023-12-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_034359465.1/
286	500	GCA_046717775.1	SAMN45893588	Corynebacterium sp. LaCa222	3391427	Corynebacterium sp. LaCa222	3391427	LaCa222_v1	Bielefeld University	2025-01-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_046717775.1/
287	500	GCA_032806925.1	SAMN37686530	Paraburkholderia kirstenboschensis	1245436	Paraburkholderia kirstenboschensis	1245436	ASM3280692v1	University of California Berkeley	2023-10-18	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_032806925.1/
288	500	GCA_009906835.1	SAMN13783578	Aristophania vespae	2697033	Aristophania vespae	2697033	ASM990683v1	National Institute of Agricultural Sciences	2020-01-20	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_009906835.1/
289	500	GCA_023716845.1	SAMN17282705	Vibrio sp. SCSIO 43133	2802577	Vibrio sp. SCSIO 43133	2802577	ASM2371684v1	South China Sea Institute of Oceanology,Chinese Academy of Sciences	2022-06-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_023716845.1/
290	500	GCA_004353225.1	SAMN11099592	Marinobacter sp. JH2	2547598	Marinobacter sp. JH2	2547598	ASM435322v1	Georg-August-University Goettingen	2019-03-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_004353225.1/
291	500	GCA_000014265.1	SAMN02598485	Trichodesmium erythraeum IMS101	203124	Trichodesmium erythraeum	1206	ASM1426v1	DOE Joint Genome Institute	2006-07-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000014265.1/
292	500	GCA_043187485.1	SAMN43971774	Anaerococcus martiniensis	3115615	Anaerococcus martiniensis	3115615	ASM4318748v1	Amager and Hvidovre Hospital	2024-10-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_043187485.1/
293	500	GCA_043099725.1	SAMN43896574	Nostoc sp. C110	3349876	Nostoc sp. C110	3349876	ASM4309972v1	Boyce Thompson Institute	2024-10-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_043099725.1/
294	500	GCA_900660755.1	SAMEA104224796	Acholeplasma hippikon	264636	Acholeplasma hippikon	264636	57792_F01-3	SC	2019-01-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_900660755.1/
295	500	GCA_000828735.1	SAMD00000347	Ureaplasma parvum serovar 3	38504	Ureaplasma parvum	134821	ASM82873v1	GIRC	2014-04-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000828735.1/
296	500	GCA_047275845.1	SAMN46307842	Thermus oshimai	56957	Thermus oshimai	56957	ASM4727584v1	Institute of Gene Biology Russian Academy of Sciences	2025-01-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_047275845.1/
297	500	GCA_050572635.1	SAMN46871077	Psychrobacter sp. VH5	3423439	Psychrobacter sp. VH5	3423439	ASM5057263v1	Dalian University of technology	2025-05-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050572635.1/
298	500	GCA_033095825.1	SAMN31258396	Acinetobacter sp. UGAL515B_02	2986764	Acinetobacter sp. UGAL515B_02	2986764	ASM3309582v1	University of Georgia	2023-10-27	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_033095825.1/
299	500	GCA_965118125.1	SAMEA117628393	Pararobbsia alpina	621374	Pararobbsia alpina	621374	Pararobbsia_sp_ABIP432	Institut de Recherche pour le Developpement	2025-01-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_965118125.1/
300	500	GCA_024605895.1	SAMN26992904	Acinetobacter sp. YH16056_T	2929514	Acinetobacter sp. YH16056_T	2929514	ASM2460589v1	South China Agricultural University	2022-08-09	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_024605895.1/
301	500	GCA_008118345.1	SAMN12605457	Gluconobacter thailandicus	257438	Gluconobacter thailandicus	257438	ASM811834v1	Henan University	2019-08-27	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_008118345.1/
302	500	GCA_052063255.1	SAMN40741159	Neisseria musculi	1815583	Neisseria musculi	1815583	ASM5206325v1	Institute for Genome Sciences, University of Maryland, Baltimore	2025-08-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_052063255.1/
303	500	GCA_003433515.1	SAMN06853988	Maritalea myrionectae	454601	Maritalea myrionectae	454601	ASM343351v1	Cotde-PKNU-Marine-Bio-Convergence	2018-04-10	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003433515.1/
304	500	GCA_033335955.1	SAMN37864665	Streptomyces sp. N50	3081765	Streptomyces sp. N50	3081765	ASM3333595v1	Korea Institute of Science and Technology	2023-11-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_033335955.1/
305	500	GCA_000025005.1	SAMN00017581	Thermobaculum terrenum ATCC BAA-798	525904	Thermobaculum terrenum	166501	ASM2500v1	US DOE Joint Genome Institute (JGI-PGF)	2009-11-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000025005.1/
306	500	GCA_016864535.1	SAMN12766866	Rhizobium sp. BG6	2613771	Rhizobium sp. BG6	2613771	ASM1686453v1	University of Georgia	2021-02-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_016864535.1/
307	500	GCA_026626125.1	SAMN31823544	Pseudomonadaceae bacterium T75	3003241	Pseudomonadaceae bacterium T75	3003241	ASM2662612v1	Chinese Academy of Agricultural Sciences	2022-12-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_026626125.1/
308	500	GCA_050956065.1	SAMN42902672	Streptomyces sp. CA-111067	3240046	Streptomyces sp. CA-111067	3240046	MDNA_WGS_278_assembly	Technical University of Denmark	2025-06-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050956065.1/
309	500	GCA_000014465.1	SAMN02598532	Levilactobacillus brevis ATCC 367	387344	Levilactobacillus brevis	1580	ASM1446v1	US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.	2006-10-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000014465.1/
